ERROR:root:
Fermeture du serveur suite à une interruption clavier.
ERROR:root:Erreur lors de l'enregistrement de la sanction dans la base de données : 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`sae_r309`.`sanctions`, CONSTRAINT `sanctions_ibfk_1` FOREIGN KEY (`identifiant`) REFERENCES `utilisateurs` (`identifiant`))
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 61416) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite : name 'conn' is not defined
ERROR:root:Une exception s'est produite : name 'conn' is not defined
ERROR:root:Une exception s'est produite : name 'conn' is not defined
ERROR:root:Une exception s'est produite : name 'conn' is not defined
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 61885) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 61886) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 49865) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 49866) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51089) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51090) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51207) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51208) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51243) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51270) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51271) a été réinitialisée par le client.
ERROR:root:La connexion avec ('127.0.0.1', 51244) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51419) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51420) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51452) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51453) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51512) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51513) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51645) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51646) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51679) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51680) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 52314) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 52326) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 52315) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 52327) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 49909) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 49910) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 49949) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 49950) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50296) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 50297) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50390) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50507) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50467) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50468) : No result set to fetch from
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50502) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50503) : No result set to fetch from
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50538) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50539) : No result set to fetch from
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50671) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50672) : No result set to fetch from
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50736) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50737) : a bytes-like object is required, not 'str'
